FIPS,Place,Name,qName,MS.MIL.XPND.ZS,MS.MIL.XPRT.KD,NE.CON.GOVT.CD,NE.CON.GOVT.CN,NE.CON.GOVT.KD,NE.CON.GOVT.KD.ZG,NE.CON.GOVT.KN,NE.CON.GOVT.ZS,NE.CON.PETC.CD
LMCBOL,Bolivia,Bolivia,"Bolivia, Lower-middle-income economies",,,5773469898.69754,39894677000,3892381456.74509,9.16744184752613,5101507000,17.4952582182004,22578642691.7511
LMCBTN,Bhutan,Bhutan,"Bhutan, Lower-middle-income economies",,,365780280.864635,23465500000,332090748.397563,10.8013625756614,9914240000,17.7740325894506,1138411177.22156
LMCCIV,Cote d'Ivoire,Cote d'Ivoire,"Cote d'Ivoire, Lower-middle-income economies",,,4706436382.10419,2782445189100,4282626207.87325,27.6912473158939,2131090677600,14.3364272052488,20342370447.9026
LMCCMR,Cameroon,Cameroon,"Cameroon, Lower-middle-income economies",,,3350581917.81378,1981700000000,3649624114.44459,4.83963183151678,1331100000000,11.7912010757679,22230469380.7333
LMCCPV,Cabo Verde,Cabo Verde,"Cabo Verde, Lower-middle-income economies",,,,,,,,,
LMCDJI,Djibouti,Djibouti,"Djibouti, Lower-middle-income economies",,,,,,,,,
LMCGEO,Georgia,Georgia,"Georgia, Lower-middle-income economies",9.26443722066117,,2498203587.00921,5669173400,,6.59063399380015,2389165000,17.8525404228796,9540177323.40369
LMCGHA,Ghana,Ghana,"Ghana, Lower-middle-income economies",,,7192953702.95208,26582999000,5805251382.22499,4.26676935258273,5780982400,19.1590562814867,25439551343.4532
LMCGTM,Guatemala,Guatemala,"Guatemala, Lower-middle-income economies",,,6612678842.03376,50618734000,5334263083.95804,-0.131204619634431,26722335000,10.3699670883389,54196536776.5365
LMCGUY,Guyana,Guyana,"Guyana, Lower-middle-income economies",,,538876513.317191,111278000000,,,,16.950577697891,2516765133.17191
LMCHND,Honduras,Honduras,"Honduras, Lower-middle-income economies",6.87006058660874,,3025667373.352,66398800000,2969957709.35764,2.65543235113395,25561100000,14.5155564105703,16207662960.0812
LMCIDN,Indonesia,Indonesia,"Indonesia, Lower-middle-income economies",6.11934329288896,,84007571678.3736,1.12481206392809E+15,85301474642.6818,5.31646724534163,775427365630940,9.75407282091785,479224433580.585
LMCIND,India,India,"India, Lower-middle-income economies",,42000000,217851467798.54,14114596598667.4,225828379767.117,3.33653609036206,11097249778300.3,10.3161526936498,1247860728485
LMCKEN,Kenya,Kenya,"Kenya, Lower-middle-income economies",6.07407578457702,,9114486571.49376,894853000000,7686708964.20141,13.0263893578977,612516000000,14.2933013621917,47946927658.8116
LMCKIR,Kiribati,Kiribati,"Kiribati, Lower-middle-income economies",,,,,,,,,
LMCLKA,Sri Lanka,Sri Lanka,"Sri Lanka, Lower-middle-income economies",14.1399263360036,,7248472473.6101,984755000000,5823154040.39287,10.2357775031896,658392000000,8.99180446497095,56508951698.4415
LMCLSO,Lesotho,Lesotho,"Lesotho, Lower-middle-income economies",,,825071126.821278,10527000000,1099078110.40488,-0.360807306347951,8837000000,35.3320028584229,1928811898.95011
LMCMAR,Morocco,Morocco,"Morocco, Lower-middle-income economies",,,19327550362.0331,188720000000,20275011036.2654,1.88750066342271,162201977700,19.2135594462765,58680499370.1545
LMCMDA,Moldova,Moldova,"Moldova, Lower-middle-income economies",1.04350085154288,,1336622206.8709,25153225000,1160950579.43387,3.02864479586719,2713641700,20.5226903714824,5721745038.12737
LMCMMR,Myanmar,Myanmar,"Myanmar, Lower-middle-income economies",,,,,,,,,
LMCMRT,Mauritania,Mauritania,"Mauritania, Lower-middle-income economies",,,1094726457.19773,354570374780.058,1048773509.68974,-1.37341967783615,190672026601.433,22.5985950721296,2799450444.49939
LMCNGA,Nigeria,Nigeria,"Nigeria, Lower-middle-income economies",,,28552041344.9753,5648950000000,24228020332.9386,-11.897290416031,3641423000000,5.93515905756837,377325285131.225
LMCNIC,Nicaragua,Nicaragua,"Nicaragua, Lower-middle-income economies",4.87006664078533,,975191188.987702,26580591200,863271598.021994,6.66343443671711,15663537400,7.64991340582728,9942575173.90156
LMCPAK,Pakistan,Pakistan,"Pakistan, Lower-middle-income economies",,,29686863797.2867,3011195000000,23739818896.2564,8.13148681668949,1220931000000,10.9525461020136,216846307719.761
LMCPHL,Philippines,Philippines,"Philippines, Lower-middle-income economies",8.07660420451486,,31993263462.361,1455783068675.12,26677221415.937,7.55255920140763,783955445392.976,10.927627672696,215940164227.61
LMCPNG,Papua New Guinea,Papua New Guinea,"Papua New Guinea, Lower-middle-income economies",2.25241181017297,,,,,,,,
LMCPSE,West Bank and Gaza,West Bank and Gaza,"West Bank and Gaza, Lower-middle-income economies",,,3429500000,3429500000,2997083439.27735,5.84035061801352,2149300000,27.0614692653673,11765600000
LMCSDN,Sudan,Sudan,"Sudan, Lower-middle-income economies",,,4449048983.33333,26694293900,8293238826.9246,-9.0938190675846,3068001700,4.57927819910593,79276510000
LMCSEN,Senegal,Senegal,"Senegal, Lower-middle-income economies",6.72564206354379,,2238326766.59058,1323858366100,2296285326.53886,4.60075384395783,717339334300,16.4462187523154,10446168212.6976
LMCSLB,Solomon Islands,Solomon Islands,"Solomon Islands, Lower-middle-income economies",,,,,,,,,
LMCSLV,El Salvador,El Salvador,"El Salvador, Lower-middle-income economies",4.64827243966451,,3142400000,3142400000,2650438954.60798,5.11569731081927,840400000,12.0618723692382,23488950000
LMCSTP,Sao Tome and Principe,Sao Tome and Principe,"Sao Tome and Principe, Lower-middle-income economies",,,,,,,,,
LMCSWZ,Swaziland,Swaziland,"Swaziland, Lower-middle-income economies",,,818000082.295496,10436781250,1095887107.47102,9.40252680040064,8518192382.8125,19.7697318767444,2870200588.9945
LMCTJK,Tajikistan,Tajikistan,"Tajikistan, Lower-middle-income economies",,,1161283477.47075,7157106200,,,,14.7869206803081,
LMCTLS,Timor-Leste,Timor-Leste,"Timor-Leste, Lower-middle-income economies",3.17139200972713,,,,,,,,
LMCUKR,Ukraine,Ukraine,"Ukraine, Lower-middle-income economies",10.632569953119,347000000,17226833053.3264,376315000000,27295730631.5843,-0.412404312544538,216608000000,18.9241475169772,61016997257.9161
LMCUZB,Uzbekistan,Uzbekistan,"Uzbekistan, Lower-middle-income economies",,34000000,10570801054.5212,27145711400000,,,,15.8,41476406734.8393
LMCVNM,Vietnam,Vietnam,"Vietnam, Lower-middle-income economies",,,12238468667.0522,265545000000000,9792661888.3971,6.96011388890159,182270000000000,6.3332635321649,125991113568.201
LMCVUT,Vanuatu,Vanuatu,"Vanuatu, Lower-middle-income economies",,,,,,,,,
LMCWSM,Samoa,Samoa,"Samoa, Lower-middle-income economies",,,,,,,,,
LMCXKX,Kosovo,Kosovo,"Kosovo, Lower-middle-income economies",,,991349672.840191,893900000,921010250.693943,-6.4914249078378,583400000,15.3924303474877,5554951757.79084
LMCZMB,Zambia,Zambia,"Zambia, Lower-middle-income economies",,,3126743340.98538,27104800000,,,,14.7805853493081,11098457669.5468
LSO,Lesotho,Lesotho,Lesotho,,,825071126.821278,10527000000,1099078110.40488,-0.360807306347951,8837000000,35.3320028584229,1928811898.95011
LTU,Lithuania,Lithuania,Lithuania,11.8502920904367,,7278328591.17181,6562570200,7579896911.98816,0.938297326800324,5723162900,17.5796451804162,26158116653.1825
LUX,Luxembourg,Luxembourg,Luxembourg,1.24325180071635,,9585870454.02058,8643186000,10230208121.5742,2.35887711263594,7724267000,16.5136273756767,17366809033.3137
LVA,Latvia,Latvia,Latvia,2.46465919703269,,4873840539.44373,4394542000,4822214876.61707,3.05491816293934,3640989000,18.0338701940626,16485080981.11
MAR,Morocco,Morocco,Morocco,,,19327550362.0331,188720000000,20275011036.2654,1.88750066342271,162201977700,19.2135594462765,58680499370.1545
MCO,Monaco,Monaco,Monaco,,,,,,,,,
MDA,Moldova,Moldova,Moldova,1.04350085154288,,1336622206.8709,25153225000,1160950579.43387,3.02864479586719,2713641700,20.5226903714824,5721745038.12737
MDG,Madagascar,Madagascar,Madagascar,,,746505013.195292,2189878652200,692864036.173447,-19.5119115684117,38344655800,7.66538314029217,8365461533.6183
MDV,Maldives,Maldives,Maldives,,,,,,,,,
MEAARE,United Arab Emirates,United Arab Emirates,"United Arab Emirates, Middle East and North Africa",,63000000,48741184479.2376,179002000000,44574070724.5285,-0.272595690075946,163698274735.831,13.6167882235731,204447438132.148
MEABHR,Bahrain,Bahrain,"Bahrain, Middle East and North Africa",,,5492021276.59575,2065000000,4903862978.7234,0.326441784548422,1844000000,17.6445658155122,14024787234.0426
MEADJI,Djibouti,Djibouti,"Djibouti, Middle East and North Africa",,,,,,,,,
MEADZA,Algeria,Algeria,"Algeria, Middle East and North Africa",,,34231040849.5661,3446771426600,31572853120.7197,-1.13000024210091,991963370000,20.7738508484578,68068894197.5184
MEAIRQ,Iraq,Iraq,"Iraq, Middle East and North Africa",,,40059766991.9979,46763100000000,,,,22.3,106548229541.64
MEAISR,Israel,Israel,"Israel, Middle East and North Africa",15.2065812963136,694000000,66888442935.0623,259982000000,61990639208.3444,3.2772203111912,259982000000,22.3396567531873,163764536379.541
MEAJOR,Jordan,Jordan,"Jordan, Middle East and North Africa",16.2867281760114,18000000,7012737746.47888,4979043800,5603859881.89509,3.63640602677657,1933620600,18.6919557981894,30054532112.6761
MEAKWT,Kuwait,Kuwait,"Kuwait, Middle East and North Africa",9.24007028896575,,28005982053.8385,8427000000,25411723656.6643,-0.478272752118073,7283000000,24.5577735684103,47125290794.2838
MEALBN,Lebanon,Lebanon,"Lebanon, Middle East and North Africa",19.5879934449212,,6507440898.64013,9809967154700,6555977407.76119,-0.29460315711043,9883135942200,13.8207113205811,31355870895.9204
MEALBY,Libya,Libya,"Libya, Middle East and North Africa",,,,,,,,,
MEAMAR,Morocco,Morocco,"Morocco, Middle East and North Africa",,,19327550362.0331,188720000000,20275011036.2654,1.88750066342271,162201977700,19.2135594462765,58680499370.1545
MEAMLT,Malta,Malta,"Malta, Middle East and North Africa",1.30854627387211,5000000,1874516111.71121,1690251177.93,2054710139.01422,3.82441763268824,1551306154.95574,18.2221719870141,5159095926.40812
MEAOMN,Oman,Oman,"Oman, Middle East and North Africa",,,19164609319.4536,7368792283.3299,17462909265.1093,0.799999999999869,6714488612.43452,27.4439686209268,23113199098.5142
